№,Adı
1,Ağcabədi
2,Ağdam
3,Ağdaş
4,Ağdərə
5,Ağstafa
6,Ağsu
7,Astara
8,Babək
9,Bakı
10,Balakən
11,Beyləqan
12,Bərdə
13,Biləsuvar
14,Cəbrayıl
15,Cəlilabad
16,Culfa
17,Daşkəsən
18,Dəliməmmədli
19,Füzuli
20,Gədəbəy
21,Gəncə
22,Goranboy
23,Göyçay
24,Göygöl
25,Göytəpə
26,Hacıqabul
27,Horadiz
28,Xaçmaz
29,Xankəndi
30,Xızı
31,Xocalı
32,Xocavənd
33,Xırdalan
34,Xudat
35,İmişli
36,İsmayıllı
37,Kəlbəcər
38,Kürdəmir
39,Qax
40,Qazax
41,Qəbələ
42,Qobustan
43,Qovlar
44,Quba
45,Qubadlı
46,Qusar
47,Laçın
48,Lerik
49,Lənkəran
50,Liman
51,Masallı
52,Mingəçevir
53,Naftalan
54,Naxçıvan
55,Neftçala
56,Oğuz
57,Ordubad
58,Saatlı
59,Sabirabad
60,Salyan
61,Samux
62,Siyəzən
63,Sumqayıt
64,Şabran
65,Şahbuz
66,Şamaxı
67,Şəki
68,Şəmkir
69,Şərur
70,Şirvan
71,Şuşa
72,Tərtər
73,Tovuz
74,Ucar
75,Yardımlı
76,Yevlax
77,Zaqatala
78,Zəngilan
79,Zərdab